WIMP mass [GeV/cˆ2], median 90pct UL [cmˆ2], signal @ 50% power for 3 sigma excess [cmˆ2]
4, 6.3438e-45, 1.7404e-44
5, 7.2268e-46, 1.5993e-45
6, 1.0820e-46, 2.9106e-46
7, 2.2919e-47, 6.3721e-47
8, 6.7489e-48, 1.8452e-47
10, 1.3884e-48, 3.8416e-48
15, 2.7791e-49, 7.3184e-49
20, 1.6794e-49, 4.0238e-49
30, 1.0258e-49, 3.0485e-49
40, 1.0724e-49, 3.0164e-49
50, 1.2644e-49, 3.2104e-49
70, 1.6043e-49, 3.8387e-49
100, 1.9475e-49, 4.8729e-49
200, 3.1791e-49, 8.8981e-49
300, 4.8772e-49, 1.3210e-48
400, 6.5607e-49, 1.7062e-48
1000, 1.6870e-48, 4.1704e-48
10000, 1.6870e-47, 4.1704e-47
