"Benchmark sensitivity (average 90% CL limit in the absence of DM signal) for 10-kg-yr and 1-ton-yr exposures with future SBC detectors. Limits assume sensitivity to 100-eV argon recoils, and are based on Feldman-Cousins sensitivity given a known neutrino CEvNS background.",,
,,
WIMP Mass [GeV],SBC 10kg-LAr Benchmark SI Sensitivity (5-year horizon) [cm^2],SBC ton-scale Benchmark SI Sensitivity (10-year horizon) [cm^2]
0.567,1.16E-38,1.30E-40
0.581,5.17E-40,5.78E-42
0.594,1.53E-40,1.73E-42
0.608,6.27E-41,7.92E-43
0.622,3.18E-41,4.22E-43
0.637,1.79E-41,2.47E-43
0.652,1.11E-41,1.58E-43
0.667,7.23E-42,1.08E-43
0.683,4.97E-42,7.57E-44
0.699,3.53E-42,5.52E-44
0.715,2.58E-42,4.15E-44
0.732,1.94E-42,3.19E-44
0.749,1.50E-42,2.50E-44
0.766,1.17E-42,2.00E-44
0.784,9.36E-43,1.63E-44
0.803,7.57E-43,1.34E-44
0.821,6.22E-43,1.11E-44
0.841,5.15E-43,9.41E-45
0.86,4.32E-43,8.04E-45
0.88,3.68E-43,6.91E-45
0.901,3.14E-43,6.01E-45
0.922,2.72E-43,5.28E-45
0.944,2.36E-43,4.67E-45
0.966,2.08E-43,4.15E-45
0.988,1.84E-43,3.73E-45
1.01,1.64E-43,3.37E-45
1.04,1.47E-43,3.05E-45
1.06,1.32E-43,2.79E-45
1.08,1.20E-43,2.56E-45
1.11,1.09E-43,2.37E-45
1.14,9.98E-44,2.20E-45
1.16,9.17E-44,2.04E-45
1.19,8.46E-44,1.91E-45
1.22,7.85E-44,1.80E-45
1.25,7.30E-44,1.69E-45
1.28,6.82E-44,1.60E-45
1.3,6.38E-44,1.52E-45
1.34,6.01E-44,1.45E-45
1.37,5.66E-44,1.38E-45
1.4,5.35E-44,1.33E-45
1.43,5.08E-44,1.27E-45
1.46,4.83E-44,1.23E-45
1.5,4.59E-44,1.18E-45
1.53,4.39E-44,1.14E-45
1.57,4.21E-44,1.11E-45
1.61,4.04E-44,1.08E-45
1.64,3.88E-44,1.05E-45
1.68,3.73E-44,1.02E-45
1.72,3.60E-44,9.98E-46
1.76,3.48E-44,9.76E-46
1.8,3.38E-44,9.56E-46
1.85,3.26E-44,9.38E-46
1.89,3.18E-44,9.21E-46
1.93,3.07E-44,9.06E-46
1.98,3.01E-44,8.91E-46
2.03,2.92E-44,8.78E-46
2.07,2.85E-44,8.66E-46
2.12,2.79E-44,8.55E-46
2.17,2.72E-44,8.45E-46
2.22,2.67E-44,8.36E-46
2.27,2.60E-44,8.27E-46
2.33,2.55E-44,8.19E-46
2.38,2.50E-44,8.11E-46
2.44,2.47E-44,8.05E-46
2.49,2.42E-44,7.99E-46
2.55,2.38E-44,7.93E-46
2.61,2.33E-44,7.87E-46
2.67,2.30E-44,7.83E-46
2.74,2.26E-44,7.78E-46
2.8,2.23E-44,7.74E-46
2.87,2.20E-44,7.69E-46
