#S2 only exclusion sensitivity for a generic argon, S2 only detector
#assume 2 e- threshold, 1 tonne-yr exposure, only backgrounds from ceVns

mass (GeV)  xsec (cm^2)
0.165723  4.12235e-31
0.202357  1.12404e-34
0.247089  8.47168e-36
0.301709  1.58695e-39
0.368403  8.18694e-42
0.449841  8.22993e-43
0.54928  1.85528e-43
0.670702  6.16377e-44
0.818964  2.54992e-44
1  1.2163e-44
1.22106  6.44954e-45
1.49098  3.74533e-45
1.82056  2.39936e-45
2.22301  1.68507e-45
2.71442  1.30963e-45
3.31445  1.07842e-45
4.04713  9.43105e-46
4.94177  8.45685e-46
6.03418  7.34832e-46
7.36806  5.88784e-46
8.99681  4.15895e-46
10.9856  2.9129e-46
13.414  2.22608e-46
16.3793  1.93842e-46
20  1.8028e-46
