,mass,exp,exp_1m,exp_2m,exp_1p,exp_2p
0,15,8.584938414722504e-46,1.1359986340130744e-45,1.4457458037088618e-45,6.136790694206248e-46,4.0332996082145776e-46
1,20,7.373835009190183e-47,9.645262902834988e-47,1.2166529419577633e-46,5.351576597525811e-47,3.58461945871511e-47
2,25,2.370597731155345e-47,3.085280444777077e-47,3.8777564086988215e-47,1.7312589675818544e-47,1.174566172432729e-47
3,30,1.2674263047680412e-47,1.6458023209283714e-47,2.0639895621919395e-47,9.295704693217749e-48,6.316728624535315e-48
4,40,6.88182229694775e-48,8.899491449647927e-48,1.1128819647867783e-47,5.0742756460454184e-48,3.478599739706578e-48
5,50,5.194652787680023e-48,6.70784487623962e-48,8.38016129032258e-48,3.837461924578489e-48,2.6376912194661887e-48
6,60,4.567984790874525e-48,5.894407167269802e-48,7.358848267354491e-48,3.3790092525210526e-48,2.328948761477101e-48
7,70,4.2983876637529e-48,5.537110722054222e-48,6.908935685828115e-48,3.1840034687704896e-48,2.1988908119777413e-48
8,80,4.197311386164039e-48,5.404944485992061e-48,6.742123687281214e-48,3.11039293913121e-48,2.149529497279139e-48
9,100,4.239061211871393e-48,5.456038912302985e-48,6.80313721750739e-48,3.14338161447988e-48,2.175303248456638e-48
10,150,4.836858713355049e-48,6.219831521739131e-48,7.75104269792099e-48,3.5931618376896526e-48,2.491167430326402e-48
11,200,5.663137970685213e-48,7.279319102663408e-48,9.068435506732814e-48,4.214911906618579e-48,2.925826247568253e-48
12,300,7.451963148316651e-48,9.577639237330657e-48,1.1930787939515395e-47,5.547160717178808e-48,3.8557709742659887e-48
13,500,1.123475784435981e-47,1.4429563537167537e-47,1.7972397153839864e-47,8.3649549303469e-48,5.81862580799617e-48
14,1000,2.0820007654595494e-47,2.674283445973455e-47,3.330514654326181e-47,1.551566508191675e-47,1.0814352346000322e-47
15,2000,4.0108202361035836e-47,5.152391711229947e-47,6.415503080082135e-47,2.9898189756149505e-47,2.0820041687009425e-47
16,5000,9.809610097475632e-47,1.2600338152985075e-46,1.5692315120820636e-46,7.308870816683317e-47,5.086912696453551e-47
17,10000,1.9488831822412187e-46,2.503418240941468e-46,3.1175767553236976e-46,1.4523992292631384e-46,1.0110249761157364e-46
